clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
758,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,31/12/1969,90,63,65,-5,11,43,168,15,3,93,indonesia
777,100 Degrees,Rich Brian,indonesian hip hop,2019,31/12/1969,81,65,76,-5,52,66,166,12,7,77,indonesia
533,105 F Remix,KEVVO,perreo,2019,31/12/1969,100,75,90,-7,29,74,464,37,16,83,chile
191,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,31/12/1969,66,71,22,-9,10,45,220,0,4,78,australia
314,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,31/12/1969,118,71,55,-5,76,53,157,61,13,82,brazil
199,8 Days of Christmas,Destiny's Child,dance pop,1999,31/12/1969,100,84,69,-1,6,64,210,5,19,67,australia
728,8 Parche,Baani Sandhu,punjabi pop,2019,31/12/1969,174,86,65,-2,20,73,210,16,21,68,india
687,93% [Tijuana],GLK,francoton,2019,31/12/1969,136,69,80,-5,18,80,223,62,6,73,france
329,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,31/12/1969,119,88,54,-3,93,63,183,72,10,80,brazil
591,A Dónde Vamos,Morat,colombian pop,2019,31/12/1969,149,61,63,-13,23,96,203,1,4,77,spain
338,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,31/12/1969,134,94,79,-2,96,83,238,37,3,78,brazil
44,A Holly Jolly Christmas - Single Version,Burl ,adult estandares,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,world
299,Adan y Eva,Paulo Londra,argentine hip hop,2019,31/12/1969,172,71,77,-4,7,72,257,32,34,76,bolivia
108,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,31/12/1969,80,84,73,-5,18,62,271,2,7,92,argentina
486,Adonay,Rodolfo Aicardi,classic colombian pop,2014,31/12/1969,118,66,76,-6,6,97,187,67,5,54,colombia
984,Adore You,Harry St.,dance pop,2019,31/12/1969,99,77,68,-4,10,57,207,2,5,87,malasya
783,Adu Rayu,Yovie Widianto,indonesian pop,2019,31/12/1969,100,37,56,-12,11,22,208,60,5,75,indonesia
335,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,31/12/1969,136,68,83,-5,41,85,174,48,7,79,brazil
98,Akulaleki,Samthing Soweto,afro house,2019,31/12/1969,116,67,90,-9,6,34,382,14,9,45,africa
331,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,31/12/1969,140,84,70,-3,75,67,232,28,6,80,brazil
480,Alguien Me Gusta,Andy Rivera,latin,2019,31/12/1969,93,52,67,-4,37,81,169,45,4,70,colombia
549,Algún Día Volveras,Santaferia,cumbia chilena,2018,31/12/1969,94,71,65,-4,5,69,254,37,3,68,chile
433,Alien,RIN,german cloud rap,2019,31/12/1969,138,60,84,-6,11,85,209,30,6,80,germany
901,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,japan
579,Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,31/12/1969,178,75,67,-5,11,70,209,21,6,84,spain
292,Amor a Primera Vista,Los Angeles Azules,grupera,2019,31/12/1969,170,76,66,-6,41,95,221,32,6,81,bolivia
898,ANSIA NO,FSK SATELLITE,italian hip hop,2019,31/12/1969,160,68,82,-7,22,71,149,15,56,73,italy
788,April,Fiersa Besari,indonesian indie,2014,31/12/1969,80,47,36,-8,19,57,264,59,3,72,indonesia
684,Aristocrate,Heuss L'enfoiré,french hip hop,2019,31/12/1969,117,61,94,-6,10,63,170,27,7,74,france
290,Atrévete,Nicky Jam,latin,2019,31/12/1969,184,68,55,-4,12,59,198,31,30,83,bolivia
342,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,31/12/1969,110,81,61,-5,42,45,190,52,4,77,brazil
689,Avant toi,Vitaa,francoton,2019,31/12/1969,142,40,63,-9,10,25,224,88,3,72,france
115,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,argentina
489,Aventurero,Yeison Jimenez,colombian pop,2019,31/12/1969,93,63,85,-4,13,90,190,51,3,54,colombia
413,Ayy Macarena,Tyga,pop rap,2019,31/12/1969,96,63,82,-6,7,72,132,13,23,90,germany
534,B11 (feat. Myke Towers),Rvssian,latin,2019,31/12/1969,100,72,76,-5,13,20,252,7,12,83,chile
384,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,31/12/1969,114,57,58,-5,27,68,174,74,4,85,canada
808,bad guy,B. Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,israel
675,Baianá,Bakermat,deep euro house,2019,31/12/1969,122,76,50,-7,33,49,182,0,5,77,france
606,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,31/12/1969,180,63,47,-6,13,43,189,7,34,94,usa
887,Barrio,Mahmood,italian arena pop,2019,31/12/1969,122,70,80,-7,11,57,165,6,7,77,italy
677,Bâtiment,Niska,french hip hop,2019,31/12/1969,168,70,66,-7,7,65,211,29,14,76,france
817,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,israel
322,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,31/12/1969,154,80,60,-4,74,68,160,36,20,81,brazil
347,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,sertanejo universitario,2019,31/12/1969,196,90,39,-4,91,47,182,45,41,68,brazil
993,Before You Go,Lewis Capaldi,pop,2019,31/12/1969,112,57,46,-5,9,18,215,60,6,82,malasya
726,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,31/12/1969,172,59,31,-5,32,35,372,45,4,68,india
712,Believer,Imagine Dragons,modern rock,2017,31/12/1969,125,78,78,-4,8,67,204,6,13,89,india
279,Bellaq.- Remix,D.,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,bolivia
288,Bellaquita,Dalex,latin,2019,31/12/1969,166,70,58,-4,17,77,205,9,11,85,bolivia
794,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,31/12/1969,77,37,57,-9,8,37,236,56,3,68,indonesia
550,Blanca Navidad,Luis Miguel,bolero,2006,31/12/1969,90,40,36,-11,7,18,212,73,3,67,chile
128,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,argentina
962,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,malasya
695,Block,Larry,french hip hop,2019,31/12/1969,77,74,72,-7,41,71,157,29,28,65,france
625,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,usa
175,Blue Xmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,australia
876,blun7 a swishland,tha Supreme,trap italiana,2019,31/12/1969,130,79,69,-6,26,57,168,13,25,80,italy
612,BOP,DaBaby,nc hip hop,2019,31/12/1969,127,79,77,-4,13,84,160,19,37,92,usa
885,Bossoli,Shiva,italian hip hop,2019,31/12/1969,145,66,83,-8,14,80,179,44,26,77,italy
762,Boy With Luv (feat. Halsey),BTS,k-pop,2019,31/12/1969,120,86,65,-5,19,80,230,9,10,87,indonesia
886,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,31/12/1969,95,69,61,-6,10,28,200,16,10,77,italy
140,C90 - Remix,John C,argentine hip hop,2019,31/12/1969,123,76,87,-5,7,61,316,34,9,72,argentina
109,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,argentina
127,Calma - Remix,Pedro Capó,latin,2018,31/12/1969,127,77,83,-4,14,76,238,32,5,87,argentina
767,Can We Kiss Forever?,Kina,pop,2018,31/12/1969,110,13,52,-19,9,12,188,89,4,84,indonesia
139,CANGURO,WOS,argentine indie,2019,31/12/1969,164,75,60,-4,67,93,197,17,33,73,argentina
492,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,31/12/1969,106,57,68,-6,8,95,227,82,3,53,colombia
636,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,31/12/1969,47,11,42,-23,18,80,85,99,4,84,usa
348,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,31/12/1969,127,93,81,-1,87,92,216,41,4,67,brazil
779,Celengan Rindu,Fiersa Besari,indonesian indie,2014,31/12/1969,117,54,64,-8,14,66,224,11,4,76,indonesia
894,ch1 5ei te,tha Supreme,trap italiana,2019,31/12/1969,88,78,49,-6,16,32,184,5,7,76,italy
730,Chal Bombay,DIVINE,desi hip hop,2019,31/12/1969,95,62,86,-7,12,51,174,4,32,68,india
313,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,31/12/1969,150,84,89,-2,6,96,120,46,15,83,brazil
740,Chandigarh Mein,Badshah,desi hip hop,2019,31/12/1969,100,87,81,-2,7,34,205,1,6,64,india
891,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,31/12/1969,120,83,72,-5,44,48,258,1,21,76,italy
305,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,31/12/1969,152,87,53,-3,33,71,182,24,9,85,brazil
883,Chiasso,Random,italian hip hop,2019,31/12/1969,92,45,72,-13,10,46,182,25,19,78,italy
104,China,Anuel AA,latin,2019,31/12/1969,105,81,79,-4,8,61,302,8,9,94,argentina
327,choque térmico - ao vivo,Luan Santana,funk carioca,2019,31/12/1969,127,76,74,-6,83,73,180,34,4,81,brazil
641,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,usa
231,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,belgium
441,Christmas Time,Bryan Adams,album rock,2019,31/12/1969,77,58,50,-4,10,32,243,47,3,72,germany
649,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,31/12/1969,75,14,39,-20,10,9,166,98,3,75,usa
900,Cin Cin,Alfa,italian arena pop,2019,31/12/1969,121,63,70,-4,13,37,180,26,3,65,italy
795,Cinta Luar Biasa,Andmesh,indonesian pop,2019,31/12/1969,136,23,58,-12,10,32,256,81,3,66,indonesia
4,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,world
426,COLT,Samra,german hip hop,2019,31/12/1969,90,53,54,-6,10,18,180,35,43,83,germany
336,Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,31/12/1969,142,72,61,-4,96,30,202,16,5,79,brazil
302,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,31/12/1969,150,73,83,-3,2,61,158,38,8,86,brazil
988,comethru,Jeremy Zucker,pop,2018,31/12/1969,94,18,80,-12,62,61,182,61,6,86,malasya
141,Cómo estás,Ke Personajes,cumbia pop,2019,31/12/1969,135,86,59,-2,4,98,227,29,6,72,argentina
691,Compliqué,Dadju,francoton,2019,31/12/1969,75,74,70,-7,16,93,215,55,5,68,france
572,Con Altura,ROSALÍA,r&b en espanol,2019,31/12/1969,98,69,88,-4,5,75,162,39,12,88,spain
124,Con Calma,Daddy Yankee,latin,2019,31/12/1969,94,86,74,-3,6,66,193,11,6,88,argentina
588,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,31/12/1969,106,52,86,-10,5,71,220,44,13,81,spain
316,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,31/12/1969,152,93,79,-5,95,81,173,22,8,82,brazil
540,Coronao Now,El Alfa,dembow,2019,31/12/1969,118,73,94,-8,18,72,218,15,25,81,chile
697,Côte Ouest,47ter,french hip hop,2019,31/12/1969,152,59,77,-8,18,58,233,50,9,59,france
